Order Id,scheduled_shipping_days,shipping_mode,payment_type,customer_segment,market,order_region,order_country,order_state,total_quantity,gross_sales,total_order_value,total_discount,total_profit,item_rows,unique_products,unique_categories,order_year,order_month,order_day_of_week,order_hour,is_weekend,target
68831,4,Standard Class,DEBIT,Home Office,Europe,Southern Europe,España,Islas Baleares,1,129.9900055,109.1900024,20.79999924,30.5699997,1,1,1,2017,10,6,18,1,0
39358,4,Standard Class,CASH,Consumer,USCA,East of USA,Estados Unidos,Nueva York,4,379.95001031,356.06001283,23.900000095,75.56999921799999,3,3,3,2016,7,3,12,0,0
43540,1,First Class,DEBIT,Consumer,Pacific Asia,West Asia,Arabia Saudí,Riad,13,1117.8900223,981.7600173999999,136.13000107,86.279999733,5,5,5,2016,9,1,13,0,1
32523,2,Second Class,TRANSFER,Corporate,USCA,East of USA,Estados Unidos,Nueva York,1,59.99000168,50.99000168,9.0,24.47999954,1,1,1,2016,4,1,17,0,1
73246,4,Standard Class,DEBIT,Consumer,Pacific Asia,Oceania,Australia,Australia del Sur,1,11.53999996,10.90999985,0.629999995,4.909999847,1,1,1,2017,12,1,4,0,0
28070,2,Second Class,DEBIT,Consumer,Pacific Asia,Eastern Asia,China,Sichuan,2,259.980011,217.0800018,42.89999962,63.45000076,2,1,1,2016,2,6,17,1,1
40011,2,Second Class,TRANSFER,Home Office,USCA,West of USA ,Estados Unidos,California,11,949.88000492,879.37998967,70.500000001,-40.60000252100001,5,4,4,2016,8,6,1,1,0
50607,4,Standard Class,PAYMENT,Home Office,Africa,West Africa,Benín,Ouémé,10,809.93001558,748.23001868,61.699999809000005,109.12000084,5,3,3,2017,1,6,17,1,0
43753,2,Second Class,PAYMENT,Corporate,Africa,West Africa,Nigeria,Lagos,8,974.85001567,909.61002547,65.23999977,414.589991609,4,4,4,2016,9,4,16,0,1
3318,4,Standard Class,DEBIT,Corporate,LATAM,South America,Chile,Santiago de Chile,9,799.9499969999999,741.9499969999999,58.0,35.77000232,3,3,3,2015,2,2,10,0,0
71234,2,Second Class,DEBIT,Corporate,Europe,Western Europe,Alemania,Hesse,1,461.480011,452.25,9.229999542,113.0599976,1,1,1,2017,11,6,20,1,1
17211,4,Standard Class,DEBIT,Consumer,Europe,Northern Europe,Reino Unido,Inglaterra,9,949.8700256,776.8799896,172.9899979,369.89999381999996,3,3,3,2015,9,2,5,0,0
76566,2,Second Class,DEBIT,Corporate,Pacific Asia,South Asia,India,Maharashtra,1,39.75,31.79999924,7.949999809,14.94999981,1,1,1,2018,1,0,16,0,0
76217,4,Standard Class,PAYMENT,Consumer,Pacific Asia,Southeast Asia,Indonesia,Java Occidental,1,39.75,37.75999832,1.99000001,2.829999924,1,1,1,2018,1,2,13,0,0
68262,1,First Class,DEBIT,Consumer,Europe,Northern Europe,Reino Unido,Inglaterra,4,829.9500275,752.2500076,77.69999981000001,196.64000511,4,3,3,2017,9,5,10,1,1
75420,4,Standard Class,TRANSFER,Corporate,Pacific Asia,Oceania,Australia,Australia Occidental,1,260.6499939,226.7700043,33.88000107,28.35000038,1,1,1,2018,1,4,22,0,1
39116,4,Standard Class,TRANSFER,Corporate,USCA,West of USA ,Estados Unidos,California,8,849.9200287,756.12000276,93.800000191,47.159999846000005,5,4,4,2016,7,6,23,1,0
19680,2,Second Class,PAYMENT,Consumer,Europe,Southern Europe,España,Ceuta,1,59.99000168,54.59000015,5.400000095,5.460000038,1,1,1,2015,10,3,6,0,1
69807,4,Standard Class,DEBIT,Corporate,Europe,Western Europe,Francia,Provenza-Alpes-Costa Azul,1,452.0400085,429.4400024,22.60000038,145.1499939,1,1,1,2017,10,0,0,0,0
48874,2,Second Class,PAYMENT,Consumer,Africa,Central Africa,República Democrática del Congo,Kinshasa,6,679.9500122,647.5500182999999,32.400000094999996,93.12999916,3,3,3,2016,12,2,10,0,1
14995,1,First Class,TRANSFER,Consumer,Europe,Southern Europe,España,Castilla y León,12,823.91001132,749.1200065400001,74.789999961,181.57999325,5,5,5,2015,8,4,21,0,1
26229,4,Standard Class,DEBIT,Home Office,Pacific Asia,Southeast Asia,Malasia,Sabah,3,489.96001818,441.96000669,48.000000001000004,196.519992845,3,3,3,2016,1,0,20,0,1
29251,4,Standard Class,TRANSFER,Home Office,Pacific Asia,Oceania,Australia,Tasmania,14,999.81002048,901.3299942799999,98.49000168,168.22000313,5,4,4,2016,3,2,23,0,0
1930,0,Same Day,DEBIT,Consumer,LATAM,Central America,Guatemala,Huehuetenango,7,529.9300079,471.9400177,57.98999977,-17.510000231,3,3,3,2015,1,3,3,0,0
74200,4,Standard Class,DEBIT,Corporate,Pacific Asia,Oceania,Australia,Australia del Sur,1,11.28999996,9.479999542,1.809999943,0.709999979,1,1,1,2017,12,1,3,0,1
20215,1,First Class,TRANSFER,Home Office,Europe,Northern Europe,Reino Unido,Inglaterra,6,649.9200134,608.4300079,41.48999977,268.67000196000004,3,3,3,2015,10,4,1,0,1
55591,4,Standard Class,PAYMENT,Consumer,LATAM,South America,Argentina,Buenos Aires,1,199.9900055,173.9900055,26.0,83.51999664,1,1,1,2017,3,2,11,0,0
43982,0,Same Day,DEBIT,Consumer,Africa,West Africa,Costa de Marfil,Lagunes,13,779.9400177,695.9400101,84.0,196.12000275,4,3,3,2016,10,1,0,0,0
74254,4,Standard Class,DEBIT,Corporate,Pacific Asia,South Asia,India,Rajastán,1,11.28999996,9.479999542,1.809999943,0.829999983,1,1,1,2017,12,1,22,0,1
71882,4,Standard Class,CASH,Corporate,Pacific Asia,Southeast Asia,Indonesia,Java Occidental,1,532.5800171,442.0400085,90.54000092,160.4600067,1,1,1,2017,11,2,7,0,0
29369,0,Same Day,TRANSFER,Consumer,Pacific Asia,Oceania,Australia,Australia del Sur,5,519.9600144,466.4600144,53.5,-58.899998306,3,3,3,2016,3,4,16,0,1
17005,4,Standard Class,DEBIT,Consumer,Europe,Western Europe,Alemania,Renania del Norte-Westfalia,2,169.98000718,165.77999878999998,4.199999929,10.97999978,2,2,2,2015,9,6,5,1,1
72764,4,Standard Class,DEBIT,Corporate,Pacific Asia,Eastern Asia,China,Fujian,1,260.6499939,213.7299957,46.91999817,100.4499969,1,1,1,2017,11,1,4,0,1
9796,1,First Class,DEBIT,Corporate,LATAM,Central America,Guatemala,Guatemala,5,1099.9500275,1003.4500275,96.5,345.690004833,5,3,3,2015,5,5,23,1,1
57535,4,Standard Class,TRANSFER,Corporate,LATAM,South America,Brasil,Paraná,5,599.980011,507.980011,92.0,-253.39001083,2,2,2,2017,4,2,20,0,1
41982,4,Standard Class,PAYMENT,Consumer,Africa,East Africa,Madagascar,Analamanga,3,259.9900055,245.79000474,14.199999809000001,32.64999962,2,2,2,2016,9,6,19,1,0
60930,2,Second Class,TRANSFER,Consumer,LATAM,Central America,Nicaragua,Managua,6,569.9600144,470.35999295,99.60000038,197.16999622,3,3,3,2017,6,3,10,0,1
